FEEDBACK_TEXT,FEEDBACK_PAGE,FEEDBACK_QUESTION,USER_TYPE,clean_text,sentiment,scores
"Not user-friendly, hard to navigate.",SignAndSubmit,How satisfied are you with the overall experience on this page?,Agent,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
Instructions were clear and helpful.,PersonalInfomration,Was there any difficulty in completing the task?,Assister,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
The interface was clunky and slow.,EligibilityResult,How satisfied are you with the overall experience on this page?,Individual,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
The interface was clunky and slow.,EligibilityResult,How easy was the page to navigate?,Individual,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
"Great user experience, everything was intuitive.",reviewEligibility,How satisfied are you with the overall experience on this page?,Assister,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
The interface was clunky and slow.,reviewEligibility,Did you find all the information you needed?,Agent,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
Very satisfied with the ease of use.,additionalInformation,Was there any difficulty in completing the task?,Assister,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
"Not user-friendly, hard to navigate.",additionalInformation,Did you find all the information you needed?,Agent,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
Very satisfied with the ease of use.,incomeReported,How satisfied are you with the overall experience on this page?,Assister,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
"Not user-friendly, hard to navigate.",incomeReported,How easy was the page to navigate?,Individual,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
I experienced several errors and had to reload.,primarycontactInfo,Was the information on the page clear?,Agent,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
"Not user-friendly, hard to navigate.",incomeReported,How satisfied are you with the overall experience on this page?,Agent,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
Very satisfied with the ease of use.,CareTakerRelationship,How easy was the page to navigate?,Agent,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
"Not user-friendly, hard to navigate.",reviewEligibility,Was there any difficulty in completing the task?,Individual,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
I experienced several errors and had to reload.,SignAndSubmit,Did you find all the information you needed?,Assister,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
I experienced several errors and had to reload.,CareTakerRelationship,Did you find all the information you needed?,Individual,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
The process was smooth and easy to follow.,CurrentIncomeDetails,Did you find all the information you needed?,Agent,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
"Not user-friendly, hard to navigate.",EligibilityResult,Was there any difficulty in completing the task?,Assister,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
"Great user experience, everything was intuitive.",incomeReported,How easy was the page to navigate?,Individual,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
I had trouble finding the information I needed.,EligibilityResult,Was there any difficulty in completing the task?,Agent,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
It was confusing and difficult to understand.,PersonalInfomration,Did you find all the information you needed?,Agent,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
I experienced several errors and had to reload.,primarycontactInfo,How satisfied are you with the overall experience on this page?,Individual,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
"The page loaded quickly, and the information was clear.",PersonalInfomration,Was the information on the page clear?,Individual,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
I had trouble finding the information I needed.,primarycontactInfo,Was there any difficulty in completing the task?,Individual,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
Instructions were clear and helpful.,additionalInformation,Was there any difficulty in completing the task?,Agent,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
"Not user-friendly, hard to navigate.",EligibilityResult,How easy was the page to navigate?,Individual,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
Very satisfied with the ease of use.,primarycontactInfo,How easy was the page to navigate?,Agent,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
It was confusing and difficult to understand.,householdInfomration,Was there any difficulty in completing the task?,Individual,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
"The page loaded quickly, and the information was clear.",CareTakerRelationship,Did you find all the information you needed?,Agent,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
I had trouble finding the information I needed.,primarycontactInfo,Was the information on the page clear?,Agent,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
"Not user-friendly, hard to navigate.",primarycontactInfo,How easy was the page to navigate?,Assister,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
The process was smooth and easy to follow.,CareTakerRelationship,Did you find all the information you needed?,Individual,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
Instructions were clear and helpful.,EligibilityResult,How satisfied are you with the overall experience on this page?,Individual,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
It was confusing and difficult to understand.,EligibilityResult,How easy was the page to navigate?,Agent,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
"Great user experience, everything was intuitive.",CareTakerRelationship,Did you find all the information you needed?,Agent,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
The process was smooth and easy to follow.,PersonalInfomration,Did you find all the information you needed?,Agent,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
"The page loaded quickly, and the information was clear.",householdInfomration,Was the information on the page clear?,Assister,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
It was confusing and difficult to understand.,SignAndSubmit,Was the information on the page clear?,Assister,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
The process was smooth and easy to follow.,CurrentIncomeDetails,How satisfied are you with the overall experience on this page?,Agent,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
Instructions were clear and helpful.,householdInfomration,Did you find all the information you needed?,Individual,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
"Great user experience, everything was intuitive.",EligibilityResult,Did you find all the information you needed?,Individual,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
The process was smooth and easy to follow.,SignAndSubmit,Was the information on the page clear?,Assister,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
The interface was clunky and slow.,additionalInformation,How easy was the page to navigate?,Assister,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
"Great user experience, everything was intuitive.",incomeReported,How easy was the page to navigate?,Agent,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
"The page loaded quickly, and the information was clear.",primarycontactInfo,Was there any difficulty in completing the task?,Individual,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
Instructions were clear and helpful.,CareTakerRelationship,Was the information on the page clear?,Agent,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
"Not user-friendly, hard to navigate.",CareTakerRelationship,Was there any difficulty in completing the task?,Assister,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
Very satisfied with the ease of use.,primarycontactInfo,Was the information on the page clear?,Individual,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
Very satisfied with the ease of use.,incomeReported,How satisfied are you with the overall experience on this page?,Individual,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
Very satisfied with the ease of use.,CurrentIncomeDetails,Did you find all the information you needed?,Assister,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
It was confusing and difficult to understand.,incomeReported,How satisfied are you with the overall experience on this page?,Agent,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
"The page loaded quickly, and the information was clear.",SignAndSubmit,Was the information on the page clear?,Agent,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
Instructions were clear and helpful.,incomeReported,Did you find all the information you needed?,Individual,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
"Great user experience, everything was intuitive.",SignAndSubmit,How easy was the page to navigate?,Assister,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
It was confusing and difficult to understand.,incomeReported,How easy was the page to navigate?,Individual,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
"The page loaded quickly, and the information was clear.",CurrentIncomeDetails,Was there any difficulty in completing the task?,Assister,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
"Not user-friendly, hard to navigate.",CurrentIncomeDetails,Was the information on the page clear?,Agent,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
The interface was clunky and slow.,EligibilityResult,Was the information on the page clear?,Assister,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
Instructions were clear and helpful.,primarycontactInfo,How easy was the page to navigate?,Agent,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
Very satisfied with the ease of use.,CurrentIncomeDetails,How satisfied are you with the overall experience on this page?,Assister,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
The process was smooth and easy to follow.,SignAndSubmit,Did you find all the information you needed?,Individual,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
Instructions were clear and helpful.,CurrentIncomeDetails,How satisfied are you with the overall experience on this page?,Agent,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
I experienced several errors and had to reload.,EligibilityResult,How satisfied are you with the overall experience on this page?,Individual,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
"The page loaded quickly, and the information was clear.",CareTakerRelationship,How easy was the page to navigate?,Individual,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
I had trouble finding the information I needed.,SignAndSubmit,How easy was the page to navigate?,Agent,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
"Not user-friendly, hard to navigate.",EligibilityResult,How easy was the page to navigate?,Agent,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
The interface was clunky and slow.,PersonalInfomration,Was there any difficulty in completing the task?,Individual,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
"Not user-friendly, hard to navigate.",PersonalInfomration,How satisfied are you with the overall experience on this page?,Individual,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
Instructions were clear and helpful.,additionalInformation,Was the information on the page clear?,Individual,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
I had trouble finding the information I needed.,incomeReported,Did you find all the information you needed?,Individual,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
I experienced several errors and had to reload.,primarycontactInfo,Was there any difficulty in completing the task?,Agent,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
"Great user experience, everything was intuitive.",reviewEligibility,Was the information on the page clear?,Agent,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
The process was smooth and easy to follow.,householdInfomration,How satisfied are you with the overall experience on this page?,Individual,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
I had trouble finding the information I needed.,EligibilityResult,How easy was the page to navigate?,Assister,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
"The page loaded quickly, and the information was clear.",CareTakerRelationship,How satisfied are you with the overall experience on this page?,Assister,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
Very satisfied with the ease of use.,householdInfomration,Did you find all the information you needed?,Agent,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
I experienced several errors and had to reload.,CareTakerRelationship,Was there any difficulty in completing the task?,Individual,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
The process was smooth and easy to follow.,householdInfomration,Was there any difficulty in completing the task?,Individual,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
The interface was clunky and slow.,EligibilityResult,Did you find all the information you needed?,Agent,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
Very satisfied with the ease of use.,reviewEligibility,Was the information on the page clear?,Assister,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
Instructions were clear and helpful.,householdInfomration,Was the information on the page clear?,Assister,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
I had trouble finding the information I needed.,EligibilityResult,Was there any difficulty in completing the task?,Assister,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
The process was smooth and easy to follow.,CurrentIncomeDetails,Was there any difficulty in completing the task?,Agent,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
It was confusing and difficult to understand.,reviewEligibility,How easy was the page to navigate?,Assister,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
"Great user experience, everything was intuitive.",SignAndSubmit,Was the information on the page clear?,Agent,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
"Great user experience, everything was intuitive.",CareTakerRelationship,Did you find all the information you needed?,Agent,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
I experienced several errors and had to reload.,PersonalInfomration,Was the information on the page clear?,Individual,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
The interface was clunky and slow.,incomeReported,How easy was the page to navigate?,Assister,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
I experienced several errors and had to reload.,PersonalInfomration,Was there any difficulty in completing the task?,Agent,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
It was confusing and difficult to understand.,reviewEligibility,Was there any difficulty in completing the task?,Assister,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
"The page loaded quickly, and the information was clear.",SignAndSubmit,How easy was the page to navigate?,Assister,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
The interface was clunky and slow.,CareTakerRelationship,Did you find all the information you needed?,Individual,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
"Not user-friendly, hard to navigate.",SignAndSubmit,Was there any difficulty in completing the task?,Assister,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
"The page loaded quickly, and the information was clear.",householdInfomration,How satisfied are you with the overall experience on this page?,Individual,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
The interface was clunky and slow.,CareTakerRelationship,Was there any difficulty in completing the task?,Agent,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
The interface was clunky and slow.,householdInfomration,How satisfied are you with the overall experience on this page?,Assister,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
It was confusing and difficult to understand.,EligibilityResult,How easy was the page to navigate?,Agent,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
Instructions were clear and helpful.,reviewEligibility,How easy was the page to navigate?,Assister,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
It was confusing and difficult to understand.,EligibilityResult,Was there any difficulty in completing the task?,Agent,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
The interface was clunky and slow.,additionalInformation,Was the information on the page clear?,Assister,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
The process was smooth and easy to follow.,SignAndSubmit,How satisfied are you with the overall experience on this page?,Assister,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
"The page loaded quickly, and the information was clear.",householdInfomration,Did you find all the information you needed?,Assister,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
It was confusing and difficult to understand.,CurrentIncomeDetails,Was there any difficulty in completing the task?,Assister,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
Instructions were clear and helpful.,EligibilityResult,Did you find all the information you needed?,Assister,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
I had trouble finding the information I needed.,additionalInformation,Was there any difficulty in completing the task?,Assister,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
I experienced several errors and had to reload.,primarycontactInfo,Was the information on the page clear?,Assister,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
The interface was clunky and slow.,PersonalInfomration,Was the information on the page clear?,Assister,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
"Not user-friendly, hard to navigate.",CareTakerRelationship,Was the information on the page clear?,Assister,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
I had trouble finding the information I needed.,additionalInformation,Was the information on the page clear?,Agent,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
"Great user experience, everything was intuitive.",reviewEligibility,How easy was the page to navigate?,Individual,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
Very satisfied with the ease of use.,EligibilityResult,How easy was the page to navigate?,Assister,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
Instructions were clear and helpful.,reviewEligibility,How satisfied are you with the overall experience on this page?,Individual,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
"Not user-friendly, hard to navigate.",PersonalInfomration,Did you find all the information you needed?,Assister,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
Very satisfied with the ease of use.,CurrentIncomeDetails,Was there any difficulty in completing the task?,Assister,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
Instructions were clear and helpful.,SignAndSubmit,Was there any difficulty in completing the task?,Agent,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
The process was smooth and easy to follow.,SignAndSubmit,How easy was the page to navigate?,Agent,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
I experienced several errors and had to reload.,reviewEligibility,Was there any difficulty in completing the task?,Individual,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
I had trouble finding the information I needed.,householdInfomration,How easy was the page to navigate?,Agent,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
"The page loaded quickly, and the information was clear.",CurrentIncomeDetails,How satisfied are you with the overall experience on this page?,Agent,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
Instructions were clear and helpful.,SignAndSubmit,Did you find all the information you needed?,Individual,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
"The page loaded quickly, and the information was clear.",CurrentIncomeDetails,How satisfied are you with the overall experience on this page?,Agent,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
I experienced several errors and had to reload.,additionalInformation,Was the information on the page clear?,Assister,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
The interface was clunky and slow.,CurrentIncomeDetails,Was the information on the page clear?,Individual,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
"Great user experience, everything was intuitive.",incomeReported,Was the information on the page clear?,Individual,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
I had trouble finding the information I needed.,PersonalInfomration,How satisfied are you with the overall experience on this page?,Assister,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
I experienced several errors and had to reload.,SignAndSubmit,Was there any difficulty in completing the task?,Agent,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
I experienced several errors and had to reload.,CurrentIncomeDetails,Did you find all the information you needed?,Individual,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
The process was smooth and easy to follow.,reviewEligibility,Was the information on the page clear?,Individual,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
Very satisfied with the ease of use.,primarycontactInfo,Was the information on the page clear?,Assister,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
"Great user experience, everything was intuitive.",incomeReported,Was the information on the page clear?,Assister,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
I had trouble finding the information I needed.,incomeReported,Did you find all the information you needed?,Agent,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
The interface was clunky and slow.,householdInfomration,Was the information on the page clear?,Individual,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
The interface was clunky and slow.,CurrentIncomeDetails,Did you find all the information you needed?,Agent,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
It was confusing and difficult to understand.,householdInfomration,Was the information on the page clear?,Agent,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
I experienced several errors and had to reload.,householdInfomration,How satisfied are you with the overall experience on this page?,Assister,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
Instructions were clear and helpful.,primarycontactInfo,How satisfied are you with the overall experience on this page?,Individual,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
The process was smooth and easy to follow.,additionalInformation,Did you find all the information you needed?,Individual,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
"Great user experience, everything was intuitive.",CurrentIncomeDetails,How satisfied are you with the overall experience on this page?,Individual,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
The interface was clunky and slow.,EligibilityResult,Did you find all the information you needed?,Assister,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
I had trouble finding the information I needed.,SignAndSubmit,How satisfied are you with the overall experience on this page?,Assister,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
It was confusing and difficult to understand.,householdInfomration,How satisfied are you with the overall experience on this page?,Assister,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
I had trouble finding the information I needed.,PersonalInfomration,Did you find all the information you needed?,Assister,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
